Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,PurchaseSpanDays,AvgDaysBetweenOrders,PurchaseVelocity,IsOneTimeCustomer,MonetaryTrend,MonetaryTrendUnknown
140,2,662.08,331.03999999999996,17,70,70.0,0.0,0,0.0,0
53,4,2411.82,602.955,195,154,51.0,0.25,0,1.1470610300461381,0
8,3,534.12,178.04,35,245,122.5,0.3333333333333333,0,0.9997543601080815,0
112,1,308.68,308.68,18,0,0.0,0.0,1,1.0,1
9,3,469.0,156.33333333333334,57,197,98.0,0.3333333333333333,0,2.1859056707652784,0
7,1,301.71999999999997,301.71999999999997,19,0,0.0,1.0,1,1.0,1
25,6,2461.94,410.3233333333333,58,268,53.2,0.16666666666666666,0,0.531877781275792,0
260,2,702.23,351.115,17,34,34.0,0.0,0,0.0,0
6,2,1312.06,656.03,20,102,102.0,0.5,0,1.0,1
66,4,1207.32,301.83,58,107,35.333333333333336,0.25,0,1.0,1
11,2,841.1899999999999,420.595,98,27,27.0,1.0,0,1.0,1
20,9,2365.42,262.82444444444445,177,171,20.625,0.3333333333333333,0,3.7972770795930586,0
49,3,372.4,124.13333333333333,23,177,88.5,0.3333333333333333,0,1.9154518950437323,0
81,4,1865.19,466.2975,94,218,72.0,0.25,0,0.08683288951560744,0
262,3,876.0,292.0,1,40,19.5,0.0,0,0.0,0
38,1,151.98,151.98,9,0,0.0,1.0,1,1.0,1
176,1,123.1,123.1,12,0,0.0,0.0,1,1.0,1
51,1,356.0,356.0,6,0,0.0,1.0,1,1.0,1
7,1,48.480000000000004,48.480000000000004,2,0,0.0,1.0,1,1.0,1
14,7,1256.5,179.5,48,280,46.333333333333336,0.42857142857142855,0,1.420477628328301,0
14,4,1793.58,448.395,94,154,51.0,0.25,0,1.0,1
252,1,178.95000000000002,178.95000000000002,10,0,0.0,0.0,1,0.0,0
169,1,122.91,122.91,42,0,0.0,0.0,1,1.0,1
22,1,260.63,260.63,19,0,0.0,1.0,1,1.0,1
88,2,188.02,94.00999999999999,12,93,93.0,0.5,0,1.0,1
10,10,4735.55,473.555,116,256,28.0,0.4,0,2.525829538061158,0
190,1,216.95000000000002,216.95000000000002,12,0,0.0,0.0,1,0.0,0
35,6,1773.8400000000001,295.64000000000004,20,227,45.2,0.16666666666666666,0,0.31234506693108577,0
213,1,154.99,154.99,14,0,0.0,0.0,1,0.0,0
217,1,296.25,296.25,9,0,0.0,0.0,1,0.0,0
217,1,363.65,363.65,19,0,0.0,0.0,1,0.0,0
15,1,267.8,267.8,16,0,0.0,1.0,1,1.0,1
3,2,534.24,267.12,9,22,22.0,1.0,0,1.0,1
6,1,635.6,635.6,40,0,0.0,1.0,1,1.0,1
91,1,203.85999999999999,203.85999999999999,34,0,0.0,1.0,1,1.0,1
295,1,692.94,692.94,30,0,0.0,0.0,1,0.0,0
18,1,1070.48,1070.48,9,0,0.0,1.0,1,1.0,1
