CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,PurchaseSpanDays,WillReturn,AvgDaysBetweenOrders,PurchaseVelocity,IsOneTimeCustomer,MonetaryTrend,MonetaryTrendUnknown
12346,254,1,77183.6,77183.6,1,0,0,0.0,0.0,1,0.0,0
12347,58,5,2790.86,558.172,82,237,1,58.75,0.2,0,0.4926885560740578,0
12348,4,4,1797.24,449.31,22,282,0,94.0,0.25,0,0.2767264157680497,0
12350,239,1,334.4,334.4,17,0,0,0.0,0.0,1,0.0,0
12352,1,7,2194.31,313.47285714285715,47,224,1,37.166666666666664,0.2857142857142857,0,0.40497883865515,0
12353,133,1,89.0,89.0,4,0,0,0.0,0.0,1,1.0,1
12354,161,1,1079.4,1079.4,58,0,0,0.0,0.0,1,1.0,1
12355,143,1,459.4,459.4,13,0,0,0.0,0.0,1,1.0,1
12356,174,2,2753.08,1376.54,53,80,1,80.0,0.0,0,0.0,0
12358,79,1,484.86,484.86,12,0,1,0.0,1.0,1,1.0,1
12359,118,3,3495.73,1165.243333333333,135,141,1,70.5,0.0,0,0.0,0
12360,41,2,1618.28,809.14,63,88,1,88.0,0.5,0,1.0,1
12361,216,1,189.9,189.9,10,0,0,0.0,0.0,1,0.0,0
12362,1,5,2577.34,515.4680000000001,121,223,1,55.25,0.6,0,3.3458568148611985,0
12363,38,2,552.0,276.0,23,132,0,132.0,0.5,0,1.0,1
12364,7,2,703.72,351.85999999999996,34,34,1,34.0,1.0,0,1.0,1
12365,220,2,641.38,320.69,22,0,0,0.0,0.0,0,0.0,0
12370,203,3,2806.41,935.4699999999999,125,85,1,42.5,0.0,0,0.0,0
12372,0,3,1298.04,432.68,34,224,0,112.0,0.3333333333333333,0,0.9596713591503433,0
12373,240,1,364.6,364.6,14,0,0,0.0,0.0,1,0.0,0
12375,27,1,230.3,230.3,11,0,1,0.0,1.0,1,1.0,1
12377,244,2,1628.12,814.06,72,39,0,39.0,0.0,0,0.0,0
12378,58,1,4008.62,4008.62,219,0,0,0.0,1.0,1,1.0,1
12379,10,2,852.24,426.12,39,88,0,88.0,0.5,0,1.0,1
12380,7,2,1233.56,616.78,52,107,1,107.0,0.5,0,1.0,1
12381,48,1,1268.74,1268.74,62,0,1,0.0,1.0,1,1.0,1
